col,term,b,se,df,r2,N
classic,var_Q, .095239679595835611, .016434372954346452,                  14,  .23650125039759573,                7074
overhang,var_Q, .095746316707303603, .016597319203735875,                  14, .239113036665349221,                7074
overhang,d,-.054764448006407014, .028546745673266878,                  14, .239113036665349221,                7074
overhang,d_year_1926, .039922087925631684,  .02374577130252949,                  14, .239113036665349221,                7074
overhang,d_year_1927, .025916575481739285, .030724719769544571,                  14, .239113036665349221,                7074
overhang,d_year_1928, .011886108944282298, .028795505252465468,                  14, .239113036665349221,                7074
overhang,d_year_1929, .021649136061517162,  .02535100771588546,                  14, .239113036665349221,                7074
overhang,d_year_1930,-.032469310555731483, .021170017173059181,                  14, .239113036665349221,                7074
overhang,d_year_1931,-.007373556499917801,  .01282281775080729,                  14, .239113036665349221,                7074
overhang,d_year_1933,-.059697095051304556,  .01235228546956434,                  14, .239113036665349221,                7074
overhang,d_year_1934,-.041315135395588391, .008331909293980313,                  14, .239113036665349221,                7074
overhang,d_year_1935, .018878676849277187, .008888358857341707,                  14, .239113036665349221,                7074
overhang,d_year_1936, -.00220791234636165, .010712763219396921,                  14, .239113036665349221,                7074
overhang,d_year_1937, .001066002669076213, .015189793430349284,                  14, .239113036665349221,                7074
overhang,d_year_1938, .004955088281514416, .018527108892169269,                  14, .239113036665349221,                7074
overhang,d_year_1939,-.029225261614691172, .015882211838062509,                  14, .239113036665349221,                7074
overhang,d_year_1940,-.021712844826881954, .015759203795532761,                  14, .239113036665349221,                7074
no_maturity,var_Q, .095223349205564037,  .01636514228319419,                  14, .238148487379507112,                6891
no_maturity,d,-.062109686125368789, .032145385014681997,                  14, .238148487379507112,                6891
no_maturity,d_year_1926, .049337489341364789, .028171360461012894,                  14, .238148487379507112,                6891
no_maturity,d_year_1927, .035646640334177505, .034132538646637296,                  14, .238148487379507112,                6891
no_maturity,d_year_1928, .021167641577321327, .031419016376685677,                  14, .238148487379507112,                6891
no_maturity,d_year_1929, .037344312863343408, .027097128754056343,                  14, .238148487379507112,                6891
no_maturity,d_year_1930,-.023341933187542938, .024973403234548629,                  14, .238148487379507112,                6891
no_maturity,d_year_1931,-.002949755584240859, .015077314540421285,                  14, .238148487379507112,                6891
no_maturity,d_year_1933,-.057918222848423913,  .01401580847891192,                  14, .238148487379507112,                6891
no_maturity,d_year_1934, -.03658860106599237, .008709802768360773,                  14, .238148487379507112,                6891
no_maturity,d_year_1935, .023490093297166198, .010884744262915882,                  14, .238148487379507112,                6891
no_maturity,d_year_1936, .007704655326381046, .012499656464653744,                  14, .238148487379507112,                6891
no_maturity,d_year_1937, .010789389659743341, .016465573124394162,                  14, .238148487379507112,                6891
no_maturity,d_year_1938, .014817229422911851, .020665784713181808,                  14, .238148487379507112,                6891
no_maturity,d_year_1939,-.019457958539140372, .017656770211219624,                  14, .238148487379507112,                6891
no_maturity,d_year_1940,-.011977093865376492, .017251947493952109,                  14, .238148487379507112,                6891
no_redemption,var_Q,  .08601081161898208, .013957492583097775,                  14, .223563341302251861,                5918
no_redemption,d, -.09370717961966972, .034010008688487491,                  14, .223563341302251861,                5918
no_redemption,d_year_1926, .060766564531956703, .022192397157205907,                  14, .223563341302251861,                5918
no_redemption,d_year_1927, .010055559222891995, .029993551365615784,                  14, .223563341302251861,                5918
no_redemption,d_year_1928, .039303789446279394, .031261469693679482,                  14, .223563341302251861,                5918
no_redemption,d_year_1929, .040432415153922416, .028568671647363222,                  14, .223563341302251861,                5918
no_redemption,d_year_1930,-.023624325784293555, .022317066005368268,                  14, .223563341302251861,                5918
no_redemption,d_year_1931, .004289424853776677, .013790361434031768,                  14, .223563341302251861,                5918
no_redemption,d_year_1933,-.064118360205329267, .013018238655440077,                  14, .223563341302251861,                5918
no_redemption,d_year_1934,-.036160342621641903, .009535851781943548,                  14, .223563341302251861,                5918
no_redemption,d_year_1935, .027430031442657803,  .00972153122631912,                  14, .223563341302251861,                5918
no_redemption,d_year_1936, .006139491649694575, .011306869758689816,                  14, .223563341302251861,                5918
no_redemption,d_year_1937, .005350265805898709, .015744996143266909,                  14, .223563341302251861,                5918
no_redemption,d_year_1938, .008721264709685364,  .01856302450161491,                  14, .223563341302251861,                5918
